name,artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cl_minmax
The Boxer,Simon & Garfunkel,0.439,0.488,-14.464,0.0615,0.702,0.000339,0.16,0.629,93.017,3
Take A Chance On Me,ABBA,0.684,0.675,-8.123,0.0257,0.163,0.0,0.242,0.924,107.064,2
Lola,The Kinks,0.474,0.917,-4.19,0.0395,0.582,0.231,0.201,0.902,152.113,2
Crocodile Rock,Elton John,0.621,0.8,-7.284,0.0344,0.0263,1.51e-05,0.0591,0.968,149.91,2
Into the Mystic - 2013 Remaster,Van Morrison,0.608,0.524,-10.266,0.0309,0.367,0.00254,0.115,0.797,86.204,2
More Than a Feeling,Boston,0.377,0.681,-8.039,0.0298,0.00088,0.0023,0.0504,0.285,108.789,0
He Ain't Heavy He's My Brother - 1998 Remaster,The Hollies,0.304,0.421,-7.769,0.0293,0.46,4.03e-05,0.163,0.216,75.928,3
Silly Love Songs - Remastered 2014,Wings,0.742,0.471,-10.767,0.0326,0.134,0.0903,0.284,0.815,124.95,2
Forever In Blue Jeans,Neil Diamond,0.706,0.39,-13.673,0.0324,0.0221,3.81e-05,0.0944,0.839,90.584,2
Burning Love,Elvis Presley,0.66,0.748,-11.206,0.0284,0.0993,0.00585,0.283,0.972,143.549,2
Afternoon Delight,Starland Vocal Band,0.491,0.439,-11.67,0.0301,0.529,0.0,0.102,0.808,147.062,2
Mandy,Barry Manilow,0.308,0.464,-9.032,0.0279,0.418,2.49e-06,0.143,0.318,103.734,3
Ventura Highway,America,0.673,0.581,-10.205,0.029,0.223,0.000206,0.063,0.818,130.771,2
It Never Rains in Southern California,Albert Hammond,0.626,0.565,-10.027,0.0271,0.124,0.0,0.0811,0.924,116.61,2
Vincent,Don McLean,0.419,0.085,-19.387,0.0362,0.908,5.33e-06,0.34,0.458,91.509,3
Nobody Does It Better,Marvin Hamlisch,0.368,0.403,-12.699,0.0288,0.703,7.66e-06,0.202,0.338,135.384,3
Love Will Keep Us Together,Captain & Tennille,0.681,0.484,-13.67,0.0348,0.317,0.0,0.121,0.923,129.733,2
Band On The Run - Remastered 2010,Wings,0.479,0.601,-8.806,0.0318,0.0832,0.00142,0.11,0.669,124.966,2
Born to Run,Bruce Springsteen,0.27,0.944,-4.199,0.0975,0.00501,2.05e-05,0.116,0.606,146.347,0
You Sexy Thing,Hot Chocolate,0.791,0.733,-5.465,0.0633,0.523,0.0016,0.167,0.962,105.853,2
Bennie And The Jets - Remastered 2014,Elton John,0.665,0.673,-7.95,0.0493,0.259,7.62e-06,0.497,0.779,132.642,2
Long Train Runnin',The Doobie Brothers,0.575,0.912,-7.275,0.0393,0.0916,0.00211,0.0562,0.843,117.399,2
You Ain't Seen Nothing Yet,Bachman-Turner Overdrive,0.475,0.439,-15.039,0.0427,0.000146,0.000277,0.223,0.76,118.392,2
If You Leave Me Now,Chicago,0.434,0.563,-6.784,0.0268,0.0197,0.000824,0.128,0.275,104.183,0
Lovely Day,Bill Withers,0.692,0.651,-8.267,0.0324,0.292,0.00241,0.105,0.706,97.923,2
Layla,Derek & The Dominos,0.404,0.902,-3.88,0.0665,0.577,0.297,0.287,0.497,115.669,0
Who'll Stop The Rain,Creedence Clearwater Revival,0.598,0.797,-6.793,0.0332,0.0424,0.000407,0.0717,0.622,123.566,2
"Signed, Sealed, Delivered (I'm Yours)",Stevie Wonder,0.67,0.619,-10.365,0.0323,0.0514,0.0,0.0492,0.807,108.826,2
